time,user_id,channel_capacity,estimated_throughput,selected_bitrate
11,3,7047.36,6921.07,4000
11,4,3554.98,3134.88,2000
11,5,1789.95,1669.53,1000
11,6,8409.44,8580.02,4000
11,7,5008.28,4390.09,2000
12,0,8803.32,8830.36,4000
12,1,4516.42,4279.14,2000
12,2,2349.95,2001.76,1000
12,3,7305.48,7016.83,4000
12,4,3175.13,2683.84,2000
12,5,1717.32,1604.7,1000
12,6,8726.16,8524.69,4000
12,7,4831.36,4251.19,2000
13,0,9211.42,8537.83,4000
13,1,4158.88,4329.55,2000
13,2,2283.94,2106.87,1000
13,3,7338.17,6915.03,4000
13,4,3535.45,2950.43,2000
13,5,1501.94,1547.83,1000
13,6,9016.95,8718.43,4000
13,7,4833.92,4570.04,4000
14,0,9607.93,8520.96,4000
14,1,3849.43,3785.5,2000
14,2,2603.9,1994.32,1000
14,3,6850.14,6865.95,4000
14,4,3497.51,3117.72,2000
14,5,1590.19,1533.06,1000
14,6,9087.2,8221.88,4000
14,7,4678.25,4358.22,2000
15,0,9602.7,9202.17,8000
15,1,3878.76,3955.47,2000
15,2,2795.55,2398.92,2000
15,3,6702.25,6823.18,4000
15,4,3634.28,3384.22,2000
15,5,1559.86,1519.32,1000
15,6,9032.78,8596.91,4000
15,7,4952.94,4507.63,4000
16,0,9626.95,8724.46,4000
16,1,4027.55,3857.76,2000
16,2,2672.81,2336.43,2000
16,3,7225.35,6571.61,4000
16,4,3382.78,3023.16,2000
16,5,1377.73,1413.79,1000
16,6,9322.31,7785.63,4000
16,7,5150.86,4557.25,4000
17,0,9509.19,8450.46,4000
17,1,4085.56,3685.14,2000
17,2,2455.6,2160.09,1000
17,3,6873.48,6039.66,4000
17,4,3203.17,3009.34,2000
17,5,1345.71,1288.76,1000
17,6,9400.04,7589.89,4000
17,7,5519.7,4800.3,4000
18,0,9565.21,9127.35,8000
18,1,4088.71,3583.93,2000
18,2,2470.25,2269.48,2000
18,3,6680.23,5543.35,4000
18,4,3209.29,2661.51,2000
18,5,1420.41,1184.52,1000
18,6,9762.82,7706.47,4000
18,7,5759.51,5360.55,4000
19,0,9340.61,8602.58,4000
19,1,4211.69,3659.82,2000
19,2,2272.22,2197.33,1000
19,3,7138.09,5899.26,4000
19,4,3504.15,2659.66,2000
19,5,1350.04,1153.46,1000
19,6,9334.54,7553.11,4000
19,7,6000.0,5435.21,4000
20,0,8957.08,9255.19,8000
20,1,4531.11,3937.17,2000
20,2,2322.06,2207.46,1000
20,3,6950.97,6022.67,4000
20,4,3891.94,2941.5,2000
20,5,1367.39,1051.85,500
20,6,9629.36,7583.83,4000
20,7,6000.0,5590.86,4000
21,0,9364.24,8103.19,4000
21,1,4186.08,3767.93,2000
21,2,2066.56,2032.8,1000
21,3,6937.09,5621.77,4000
21,4,3987.96,3086.44,2000
21,5,1362.48,1083.54,500
21,6,9112.5,7181.45,4000
21,7,5977.72,5054.66,4000
22,0,9337.48,8155.14,4000
22,1,3927.27,3648.03,2000
22,2,1983.51,1857.08,1000
22,3,6637.62,5429.11,4000
22,4,4479.14,3007.41,2000
22,5,1367.77,1197.0,1000
22,6,8937.57,7438.88,4000
22,7,6000.0,5107.72,4000
23,0,9305.5,8847.45,4000
23,1,3688.39,3586.73,2000
23,2,1742.54,1747.72,1000
23,3,6688.48,5349.13,4000
23,4,4290.05,2943.03,2000
23,5,1154.43,1103.95,500
23,6,8775.93,7573.14,4000
23,7,5729.61,5668.58,4000
24,0,8955.86,8228.55,4000
24,1,3829.13,3422.17,2000
24,2,1644.95,1558.22,1000
24,3,6566.7,5646.27,4000
24,4,4141.95,3123.1,2000
24,5,1024.84,1036.18,500
24,6,8788.06,7155.39,4000
24,7,5521.88,5418.12,4000
25,0,8548.97,7574.46,4000
25,1,3841.15,3246.89,2000
25,2,1683.9,1534.76,1000
25,3,6340.62,5464.74,4000
25,4,4301.6,3325.53,2000
25,5,1000.0,1018.3,500
25,6,8771.54,7603.98,4000
25,7,5219.12,5221.56,4000
26,0,8641.76,7082.83,4000
26,1,3690.15,3208.29,2000
26,2,1696.89,1493.82,1000
26,3,6301.7,6104.31,4000
26,4,4593.55,3644.87,2000
26,5,1038.16,945.04,500
26,6,8855.94,7017.87,4000
26,7,5116.15,4855.56,4000
27,0,8723.49,7309.22,4000
27,1,3635.38,3098.07,2000
27,2,1821.3,1459.87,1000
27,3,5748.92,5664.65,4000
27,4,4652.45,3663.27,2000
27,5,1153.79,915.69,500
27,6,8486.29,7056.04,4000
27,7,5402.09,4939.5,4000
28,0,8656.02,7220.55,4000
28,1,3390.69,3193.8,2000
28,2,1754.66,1336.65,1000
28,3,5843.24,5976.0,4000
28,4,4841.7,3815.16,2000
28,5,1015.47,856.94,500
28,6,8703.69,7259.21,4000
28,7,5741.0,5234.96,4000
29,0,8458.4,7223.73,4000
29,1,3508.55,3215.62,2000
29,2,2036.96,1473.03,1000
29,3,6179.6,5399.83,4000
29,4,5239.99,3783.09,2000
29,5,1000.0,809.59,500
29,6,8456.29,6890.89,4000
29,7,5709.55,4786.58,4000
30,0,8393.5,7318.63,4000
30,1,3132.77,3202.23,2000
30,2,2000.1,1446.49,1000
30,3,6111.42,5231.35,4000
30,4,4565.77,4008.91,2000
30,5,1000.0,835.33,500
30,6,8398.56,6772.78,4000
30,7,5883.61,4641.73,4000
31,0,8385.32,7328.97,4000
31,1,2996.91,2703.36,2000
31,2,1893.18,1398.3,1000
31,3,6138.03,4966.75,4000
31,4,4502.03,3894.79,2000
31,5,1225.6,915.49,500
31,6,7735.82,6554.0,4000
31,7,6000.0,4334.74,2000
32,0,8254.19,7161.0,4000
32,1,3119.26,2717.6,2000
32,2,1709.86,1371.64,1000
32,3,6316.27,4780.18,4000
32,4,4441.95,3852.06,2000
32,5,1169.38,903.92,500
32,6,7913.56,6261.24,4000
32,7,6000.0,4690.33,4000
33,0,7865.03,6999.77,4000
33,1,3270.76,2757.03,2000
33,2,1517.79,1333.58,1000
33,3,6754.97,4808.29,4000
33,4,3921.46,3752.88,2000
33,5,1423.84,875.53,500
33,6,7966.31,6701.9,4000
33,7,5975.82,4732.62,4000
34,0,7730.09,6947.02,4000
34,1,3076.18,2847.19,2000
34,2,1547.17,1212.28,1000
34,3,6510.38,4489.1,4000
34,4,4023.53,3564.49,2000
34,5,1168.46,878.63,500
34,6,8223.6,6421.6,4000
34,7,6000.0,4433.26,2000
35,0,7486.12,6553.88,4000
35,1,3339.59,2859.41,2000
35,2,1404.76,1207.62,1000
35,3,7168.48,4525.11,4000
35,4,4146.86,3574.39,2000
35,5,1196.18,982.34,500
35,6,8009.01,6886.74,4000
35,7,6000.0,4543.21,4000
36,0,7641.57,6772.58,4000
36,1,2947.04,2836.09,2000
36,2,1295.69,1178.76,1000
36,3,7106.6,5041.58,4000
36,4,4128.25,3484.39,2000
36,5,1289.28,1023.45,500
36,6,8053.44,6705.49,4000
36,7,5666.16,5035.97,4000
37,0,7631.68,6280.19,4000
37,1,3117.41,2764.81,2000
37,2,1299.94,1157.11,1000
37,3,7114.04,4968.23,4000
37,4,4362.82,3681.06,2000
37,5,1211.88,1036.98,500
37,6,8077.47,6604.84,4000
37,7,5550.6,4857.86,4000
38,0,7652.25,6553.36,4000
38,1,3383.78,2616.07,2000
38,2,1222.34,1036.59,500
38,3,7466.37,4942.43,4000
38,4,4937.54,3749.81,2000
38,5,1157.45,1038.56,500
38,6,7966.09,7191.04,4000
38,7,5913.94,4803.23,4000
39,0,7371.57,6381.41,4000
39,1,3479.38,2584.79,2000
39,2,1247.31,1122.35,1000
39,3,7589.48,4997.14,4000
39,4,5009.84,3666.92,2000
39,5,1525.75,1145.1,1000
39,6,7806.66,7119.67,4000
39,7,5781.19,5386.3,4000
40,0,7218.38,5979.83,4000
40,1,3382.46,2553.79,2000
40,2,1290.19,1111.52,1000
40,3,7673.1,5457.95,4000
40,4,5174.47,4506.72,4000
40,5,1827.28,1198.61,1000
40,6,7762.42,6951.97,4000
40,7,5581.62,5736.94,4000
41,0,7366.04,5874.47,4000
41,1,3659.63,2781.66,2000
41,2,1413.26,1184.34,1000
41,3,7799.92,5641.26,4000
41,4,5441.14,4595.32,4000
41,5,2002.67,1301.81,1000
41,6,8107.96,7254.05,4000
41,7,5743.8,5674.49,4000
42,0,7428.39,5966.88,4000
42,1,4054.0,2817.17,2000
42,2,1398.97,1181.14,1000
42,3,7869.67,5620.8,4000
42,4,5593.11,4584.22,4000
42,5,2030.66,1365.79,1000
42,6,7996.35,7657.42,4000
42,7,5792.32,5368.33,4000
43,0,7066.38,5782.93,4000
43,1,3504.3,2849.12,2000
43,2,1464.97,1215.06,1000
43,3,7744.16,5901.98,4000
43,4,5337.81,4377.17,2000
43,5,2136.92,1417.03,1000
43,6,8057.3,7115.12,4000
43,7,5651.3,5021.17,4000
44,0,6753.5,5675.9,4000
44,1,3865.24,2979.23,2000
44,2,1452.65,1253.93,1000
44,3,8023.48,6316.09,4000
44,4,5423.49,4160.69,2000
44,5,2205.43,1683.45,1000
44,6,8199.74,6904.22,4000
44,7,5763.23,4910.98,4000
45,0,6641.95,5268.71,4000
45,1,3392.85,3042.13,2000
45,2,1384.8,1232.57,1000
45,3,7417.51,6031.18,4000
45,4,5027.51,4052.28,2000
45,5,2319.49,1757.9,1000
45,6,8396.19,6550.91,4000
45,7,5869.59,4575.26,4000
46,0,6391.55,5385.27,4000
46,1,3322.58,2955.5,2000
46,2,1654.45,1304.66,1000
46,3,7577.72,6471.97,4000
46,4,4884.72,4263.55,2000
46,5,2405.38,1870.18,1000
46,6,8746.03,6968.05,4000
46,7,6000.0,4528.05,4000
47,0,6228.69,5551.04,4000
47,1,3201.61,3040.09,2000
47,2,1606.4,1276.71,1000
47,3,7683.77,6572.08,4000
47,4,5015.43,4311.06,2000
47,5,2319.32,1769.11,1000
47,6,8739.94,6790.32,4000
47,7,6000.0,4933.51,4000
48,0,6284.81,5806.81,4000
48,1,3463.38,2725.18,2000
48,2,1858.99,1495.4,1000
48,3,7569.04,6609.16,4000
48,4,5285.1,4286.36,2000
48,5,2313.55,1786.05,1000
48,6,8696.79,6733.19,4000
48,7,6000.0,5395.87,4000
49,0,6477.73,5767.77,4000
49,1,2751.25,2613.92,2000
49,2,2031.31,1530.2,1000
49,3,7134.12,6194.4,4000
49,4,5194.49,4020.89,2000
49,5,2145.6,1778.3,1000
49,6,8373.11,6401.45,4000
49,7,6000.0,5285.12,4000
50,0,6397.32,5618.57,4000
50,1,3270.43,2741.15,2000
50,2,2088.6,1612.92,1000
50,3,7241.63,6110.57,4000
50,4,5452.06,4328.43,2000
50,5,2181.41,1815.46,1000
50,6,8308.35,6886.61,4000
50,7,5950.91,4936.2,4000
51,0,6674.37,6052.1,4000
51,1,3010.46,2763.74,2000
51,2,2180.51,1945.36,1000
51,3,6978.27,6026.23,4000
51,4,5296.11,4426.39,2000
51,5,2468.52,2025.22,1000
51,6,8260.68,7062.63,4000
51,7,6000.0,4743.81,4000
52,0,6658.33,6359.6,4000
52,1,3092.65,2608.74,2000
52,2,2228.72,1939.49,1000
52,3,7083.75,6089.96,4000
52,4,5699.54,4399.45,2000
52,5,2536.55,2021.45,1000
52,6,8199.64,7373.71,4000
52,7,6000.0,4596.85,4000
53,0,6498.59,5312.59,4000
53,1,2761.87,2700.4,2000
53,2,2475.02,1854.31,1000
53,3,7336.21,5644.48,4000
53,4,5527.5,4888.43,4000
53,5,2874.41,2237.61,2000
53,6,8445.09,7308.73,4000
53,7,5918.79,4942.05,4000
54,0,6310.1,5612.08,4000
54,1,2691.71,2364.45,2000
54,2,2221.08,1721.43,1000
54,3,7311.62,5795.76,4000
54,4,5280.36,4833.54,4000
54,5,2708.88,2038.73,1000
54,6,8490.06,6939.64,4000
54,7,6000.0,5034.65,4000
55,0,6366.08,5385.56,4000
55,1,3032.74,2312.85,2000
55,2,2239.86,1694.27,1000
55,3,7204.27,5545.73,4000
55,4,5310.93,4703.57,4000
55,5,2790.37,2146.5,1000
55,6,8502.27,6746.69,4000
55,7,6000.0,5289.63,4000
56,0,6524.52,5292.04,4000
56,1,3136.19,2235.11,2000
56,2,2212.07,1657.0,1000
56,3,7171.82,6239.28,4000
56,4,5321.88,4624.25,4000
56,5,2768.32,2246.41,2000
56,6,8743.24,6534.22,4000
56,7,6000.0,4906.38,4000
57,0,6533.04,5905.82,4000
57,1,2943.7,2190.2,1000
57,2,2247.13,1848.26,1000
57,3,6782.84,5913.94,4000
57,4,5404.6,4544.0,4000
57,5,2893.35,2338.46,2000
57,6,8244.81,6410.65,4000
57,7,6000.0,4586.96,4000
58,0,6349.16,5988.46,4000
58,1,3252.72,2451.63,2000
58,2,2410.83,1954.43,1000
58,3,6935.13,5923.04,4000
58,4,5131.53,4161.12,2000
58,5,2845.89,2275.27,2000
58,6,8548.08,5972.54,4000
58,7,6000.0,4783.46,4000
59,0,6446.31,5997.22,4000
59,1,3875.97,2662.21,2000
59,2,2409.92,1891.44,1000
59,3,7144.75,5806.61,4000
59,4,5151.98,4248.0,2000
59,5,2831.06,2360.79,2000
59,6,8777.85,6414.83,4000
59,7,5927.43,5127.58,4000
60,0,6448.9,5687.22,4000
60,1,3548.01,2807.52,2000
60,2,2250.15,1822.87,1000
60,3,7068.44,5628.97,4000
60,4,4999.61,4334.68,2000
60,5,2803.01,2364.05,2000
60,6,8792.02,6314.71,4000
60,7,6000.0,5678.85,4000
61,0,6486.06,5591.14,4000
61,1,3463.74,3013.58,2000
61,2,2158.14,1568.65,1000
61,3,6992.83,6144.74,4000
61,4,4902.56,3960.22,2000
61,5,2828.57,2313.7,2000
61,6,8832.16,6976.68,4000
61,7,6000.0,5384.21,4000
62,0,6341.93,5489.49,4000
62,1,2815.98,2766.84,2000
62,2,2076.21,1555.54,1000
62,3,7090.78,5730.42,4000
62,4,4532.83,3823.83,2000
62,5,2856.08,2479.56,2000
62,6,8828.33,7867.77,4000
62,7,6000.0,5405.78,4000
63,0,6174.67,5611.33,4000
63,1,3075.95,2759.73,2000
63,2,1985.36,1530.28,1000
63,3,7547.28,5787.35,4000
63,4,4702.31,3981.53,2000
63,5,2782.89,2350.13,2000
63,6,9367.66,7414.17,4000
63,7,5848.57,5051.73,4000
64,0,5837.88,5651.42,4000
64,1,2833.05,2531.16,2000
64,2,2165.43,1598.97,1000
64,3,7383.06,5956.05,4000
64,4,4440.59,3798.29,2000
64,5,2863.39,2717.21,2000
64,6,9664.09,7665.2,4000
64,7,6000.0,5280.12,4000
65,0,6220.0,6240.7,4000
65,1,2960.01,2335.14,2000
65,2,2246.17,1719.78,1000
65,3,7651.18,6064.47,4000
65,4,4349.35,4007.3,2000
65,5,2737.51,2585.24,2000
65,6,9402.88,7809.87,4000
65,7,5508.41,5100.21,4000
66,0,6342.75,5816.41,4000
66,1,3143.73,2568.5,2000
66,2,2345.6,1827.9,1000
66,3,7944.55,6719.71,4000
66,4,4394.6,4052.58,2000
66,5,2542.98,2325.22,2000
66,6,9502.81,7984.72,4000
66,7,5345.57,5009.8,4000
67,0,6290.49,5938.01,4000
67,1,2931.1,2358.23,2000
67,2,2258.52,1841.16,1000
67,3,8091.7,6813.3,4000
67,4,4812.08,3808.42,2000
67,5,2602.18,2298.12,2000
67,6,9203.83,8792.99,4000
67,7,5456.72,4812.24,4000
68,0,5935.9,5998.83,4000
68,1,2490.9,2477.92,2000
68,2,2029.68,1827.9,1000
68,3,8407.34,7258.25,4000
68,4,4674.12,3545.0,2000
68,5,2985.91,2310.22,2000
68,6,9062.77,8849.1,4000
68,7,5502.86,4933.83,4000
69,0,5650.48,5431.67,4000
69,1,2442.48,2574.06,2000
69,2,1922.15,1786.42,1000
69,3,7940.71,6704.03,4000
69,4,4653.45,3817.56,2000
69,5,2967.65,2483.91,2000
69,6,9441.13,8434.9,4000
69,7,5660.56,4620.5,4000
70,0,5533.97,5650.79,4000
70,1,2043.81,2224.3,2000
70,2,1999.19,1703.24,1000
70,3,7807.53,6808.73,4000
70,4,4360.97,3658.65,2000
70,5,2536.81,2300.75,2000
70,6,9434.26,8004.2,4000
70,7,6000.0,4924.34,4000
71,0,5907.14,5627.73,4000
71,1,2000.0,2017.96,1000
71,2,1995.99,1596.95,1000
71,3,7620.73,6755.82,4000
71,4,3754.91,3505.96,2000
71,5,2669.42,2157.52,1000
71,6,9618.47,8233.84,4000
71,7,5929.67,4840.22,4000
72,0,5723.49,5412.65,4000
72,1,2000.0,1821.03,1000
72,2,2026.07,1496.05,1000
72,3,7907.89,5977.13,4000
72,4,3500.95,3366.85,2000
72,5,2678.67,2243.0,2000
72,6,9725.67,8045.4,4000
72,7,6000.0,5338.82,4000
73,0,5677.77,5431.68,4000
73,1,2343.72,1895.51,1000
73,2,1929.18,1570.91,1000
73,3,7708.09,5764.8,4000
73,4,3380.26,3315.35,2000
73,5,2535.67,2189.94,1000
73,6,9756.34,8400.94,4000
73,7,6000.0,5006.97,4000
74,0,5706.08,5080.93,4000
74,1,2000.0,1918.32,1000
74,2,2067.06,1611.88,1000
74,3,7541.05,6455.31,4000
74,4,3848.59,3138.87,2000
74,5,2697.68,2235.09,2000
74,6,9644.51,7888.71,4000
74,7,6000.0,5139.42,4000
75,0,5712.14,5332.92,4000
75,1,2353.06,2247.05,2000
75,2,2055.12,1602.2,1000
75,3,7654.15,6507.49,4000
75,4,3582.99,3164.33,2000
75,5,2761.92,2337.19,2000
75,6,9597.72,8331.72,4000
75,7,6000.0,4993.43,4000
76,0,6036.39,5118.1,4000
76,1,2347.34,2111.26,1000
76,2,1905.22,1654.23,1000
76,3,7527.95,7080.35,4000
76,4,3793.15,3251.16,2000
76,5,2843.93,2257.92,2000
76,6,9537.99,7885.08,4000
76,7,5908.29,4993.54,4000
77,0,6107.21,4685.66,4000
77,1,2282.61,1955.24,1000
77,2,1993.22,1749.08,1000
77,3,7409.23,6991.26,4000
77,4,4010.97,3284.07,2000
77,5,2642.04,2437.41,2000
77,6,9569.58,7819.61,4000
77,7,6000.0,5373.06,4000
78,0,6383.98,4918.07,4000
78,1,2252.52,1954.61,1000
78,2,1667.32,1615.8,1000
78,3,7621.08,7243.16,4000
78,4,3877.14,3206.14,2000
78,5,2628.46,2412.62,2000
78,6,9652.58,7686.18,4000
78,7,6000.0,5507.43,4000
79,0,6379.13,5135.48,4000
79,1,2176.72,1819.28,1000
79,2,1787.32,1518.96,1000
79,3,7217.01,7378.35,4000
79,4,3613.72,2919.51,2000
79,5,2468.29,2400.12,2000
79,6,9890.16,8508.44,4000
79,7,6000.0,5486.54,4000
80,0,5703.32,5396.49,4000
80,1,2346.19,2011.4,1000
80,2,1689.2,1435.37,1000
80,3,6759.35,6391.3,4000
80,4,3741.52,3438.83,2000
80,5,2674.33,2344.17,2000
80,6,9855.79,8510.94,4000
80,7,6000.0,5460.98,4000
81,0,5517.7,4741.05,4000
81,1,2016.18,1966.67,1000
81,2,1597.44,1416.36,1000
81,3,6750.09,5988.43,4000
81,4,3634.19,3138.23,2000
81,5,2570.47,2267.89,2000
81,6,9504.21,8101.11,4000
81,7,5979.22,5074.04,4000
82,0,5786.7,4857.04,4000
82,1,2021.51,1884.06,1000
82,2,1882.62,1391.89,1000
82,3,6734.92,5668.11,4000
82,4,3457.09,3135.18,2000
82,5,2343.41,2222.38,2000
82,6,9053.43,7013.99,4000
82,7,5583.19,4754.33,4000
83,0,5753.89,4860.82,4000
83,1,2040.73,1888.79,1000
83,2,1848.89,1532.85,1000
83,3,6572.42,5469.31,4000
83,4,3499.25,2805.95,2000
83,5,2409.71,2147.46,1000
83,6,8780.83,7091.01,4000
83,7,5935.92,4236.68,2000
84,0,5793.85,4510.71,4000
84,1,2000.0,1934.72,1000
84,2,2038.74,1742.57,1000
84,3,6355.88,5506.65,4000
84,4,3741.62,2821.75,2000
84,5,2473.78,2207.05,1000
84,6,8619.27,7673.25,4000
84,7,6000.0,4143.99,2000
85,0,5521.11,4374.48,2000
85,1,2000.0,1806.34,1000
85,2,1872.89,1728.65,1000
85,3,6302.15,5626.78,4000
85,4,3664.61,2930.17,2000
85,5,2590.73,2140.31,1000
85,6,8946.85,7431.64,4000
85,7,6000.0,4590.93,4000
86,0,5412.01,4587.79,4000
86,1,2000.0,1781.21,1000
86,2,1859.63,1647.2,1000
86,3,6209.65,5499.52,4000
86,4,3599.91,2794.43,2000
86,5,2830.53,2222.84,2000
86,6,9087.08,7621.97,4000
86,7,5926.13,4696.1,4000
87,0,5215.07,4898.05,4000
87,1,2000.0,1660.88,1000
87,2,1834.41,1701.38,1000
87,3,6091.62,5623.67,4000
87,4,3105.09,2665.68,2000
87,5,2942.72,2282.08,2000
87,6,8818.89,7624.06,4000
87,7,5985.94,5050.48,4000
88,0,5292.08,5000.83,4000
88,1,2000.0,1635.24,1000
88,2,1874.78,1623.74,1000
88,3,6005.82,5231.15,4000
88,4,3260.48,2427.27,2000
88,5,2887.28,2764.82,2000
88,6,8913.17,7741.82,4000
88,7,5978.63,5202.12,4000
89,0,5430.98,4761.85,4000
89,1,2022.4,1656.22,1000
89,2,1845.18,1701.44,1000
89,3,5968.01,5161.94,4000
89,4,3211.75,2440.79,2000
89,5,3000.0,2484.74,2000
89,6,9061.56,7823.12,4000
89,7,5243.53,4833.43,4000
90,0,5612.26,4613.26,4000
90,1,2151.44,1774.99,1000
90,2,1748.96,1601.4,1000
90,3,6075.99,4773.47,4000
90,4,3411.85,2522.11,2000
90,5,3000.0,2543.59,2000
90,6,9358.79,6921.91,4000
90,7,5420.6,4768.19,4000
91,0,5777.07,4488.38,4000
91,1,2385.83,1673.08,1000
91,2,1507.83,1481.3,1000
91,3,5885.31,4926.6,4000
91,4,3219.57,2212.75,1000
91,5,2859.01,2535.13,2000
91,6,9566.16,7096.44,4000
91,7,5372.15,4649.13,4000
92,0,5896.16,4500.42,4000
92,1,2512.2,1675.94,1000
92,2,1666.86,1343.78,1000
92,3,6575.22,5356.05,4000
92,4,3317.67,2409.95,2000
92,5,2782.67,2373.37,2000
92,6,9559.76,7478.35,4000
92,7,4929.88,4187.78,2000
93,0,5559.69,4425.62,2000
93,1,2307.39,1767.26,1000
93,2,1595.42,1201.13,1000
93,3,6793.82,5498.62,4000
93,4,3383.31,2780.98,2000
93,5,2811.71,2551.54,2000
93,6,9772.49,7535.72,4000
93,7,4895.54,4029.77,2000
94,0,5713.63,4670.47,4000
94,1,2608.36,1876.3,1000
94,2,1574.51,1277.14,1000
94,3,6681.27,5808.98,4000
94,4,3383.45,2892.71,2000
94,5,2901.89,2846.32,2000
94,6,9411.52,8236.84,4000
94,7,4321.49,4175.72,2000
95,0,5869.18,4914.93,4000
95,1,2323.65,1782.92,1000
95,2,1730.37,1268.59,1000
95,3,6662.33,5934.18,4000
95,4,3551.07,2826.98,2000
95,5,2741.11,2633.16,2000
95,6,9023.08,7854.47,4000
95,7,4525.96,3971.54,2000
96,0,5812.03,4961.43,4000
96,1,2075.06,1772.08,1000
96,2,1346.02,1259.28,1000
96,3,6614.57,6228.98,4000
96,4,4154.22,2980.56,2000
96,5,2858.8,2558.85,2000
96,6,9018.27,7659.94,4000
96,7,4460.24,4087.61,2000
97,0,5853.22,5006.18,4000
97,1,2087.78,1626.73,1000
97,2,1372.02,1269.91,1000
97,3,6675.56,5849.83,4000
97,4,4098.42,2833.19,2000
97,5,3000.0,2391.7,2000
97,6,8618.04,7965.31,4000
97,7,4253.12,3880.0,2000
98,0,5977.78,5309.86,4000
98,1,2372.82,1642.27,1000
98,2,1609.11,1198.69,1000
98,3,6421.79,6472.12,4000
98,4,3895.7,2715.04,2000
98,5,2811.36,2428.21,2000
98,6,8559.54,7825.26,4000
98,7,4369.71,3727.0,2000
99,0,5424.81,5240.79,4000
99,1,2756.18,1712.38,1000
99,2,1395.51,1235.19,1000
99,3,6355.12,5946.18,4000
99,4,3788.39,3000.71,2000
99,5,2899.65,2426.56,2000
99,6,8160.01,7241.66,4000
99,7,4485.25,3895.51,2000
100,0,5346.55,4897.98,4000
100,1,2756.0,1907.25,1000
100,2,1207.95,1138.77,1000
100,3,6506.25,5801.04,4000
100,4,4008.98,2966.88,2000
100,5,2831.83,2603.09,2000
100,6,8042.5,6627.26,4000
100,7,4551.72,3925.81,2000
101,0,4854.02,4625.6,4000
101,1,2979.15,2156.52,1000
101,2,1026.28,1091.96,500
101,3,6688.94,5667.28,4000
101,4,4012.55,3123.73,2000
101,5,2688.74,2574.19,2000
101,6,7940.74,6219.06,4000
101,7,4723.3,3803.98,2000
102,0,5075.74,4476.18,4000
102,1,2873.96,2443.61,2000
102,2,1000.0,941.73,500
102,3,6738.68,5469.97,4000
102,4,4121.73,3097.32,2000
102,5,2749.39,2416.73,2000
